#GRM21BC71E106KE11,,
#2023/01/16,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.125,0.5028448851212897,
0.25,0.853257222897974,
0.375,1.0567788490253083,
0.5,1.1194602160550682,
0.625,1.0477697637649719,
0.75,0.8485073473003757,
0.875,0.5287224678831581,
1.0,0.0956378768560695,
1.125,-0.4434210371280112,
1.25,-1.0810908141775655,
1.375,-1.8100283093599456,
1.5,-2.622962880156521,
1.625,-3.512742454424811,
1.75,-4.472373640525962,
1.875,-5.495056108725094,
2.0,-6.574211526443941,
2.125,-7.703507370583762,
2.25,-8.876875969190367,
2.375,-10.088529143498647,
2.5,-11.332968831176714,
2.625,-12.604994073667342,
2.75,-13.899704746118447,
2.875,-15.212502398653992,
3.0,-16.53908856372064,
3.125,-17.875460866914526,
3.25,-19.217907258907495,
3.375,-20.56299866460852,
3.5,-21.907580323169828,
3.625,-23.248762069438477,
3.75,-24.583907784430338,
3.875,-25.91062421975021,
4.0,-27.22674937890739,
4.125,-28.530340617421345,
4.25,-29.81966260365634,
4.375,-31.093175263596617,
4.5,-32.34952181535494,
4.625,-33.587516983144816,
4.75,-34.80613546574973,
4.875,-36.00450072118244,
5.0,-37.181874117205794,
5.125,-38.33764448663789,
5.25,-39.471318116824484,
5.375,-40.58250919426117,
5.5,-41.67093071801114,
5.625,-42.736385889211725,
5.75,-43.778759978515424,
5.875,-44.798012668686646,
6.0,-45.7941708657001,
6.125,-46.76732196848037,
6.25,-47.71760758481766,
6.375,-48.645217678922826,
6.5,-49.55038513448034,
6.625,-50.433380715867,
6.75,-51.29450840936825,
6.875,-52.13410112569714,
7.0,-52.95251674485713,
7.125,-53.750134484347946,
7.25,-54.52735157186102,
7.375,-55.28458020390967,
7.5,-56.02224477226698,
7.625,-56.7407793406107,
7.75,-57.44062535438121,
7.875,-58.1222295675249,
8.0,-58.78604217050385,
8.125,-59.432515104691944,
8.25,-60.06210054903205,
8.375,-60.67524956559205,
8.5,-61.272410891416754,
8.625,-61.854029864824575,
8.75,-62.420547475035804,
8.875,-62.972399524735366,
9.0,-63.510015895869046,
9.125,-64.03381990964165,
9.25,-64.5442277723262,
9.375,-65.04164809910718,
9.5,-65.52648150876266,
9.625,-65.99912028254286,
9.75,-66.45994808112468,
9.875,-66.909339714013,
10.0,-67.34766095622162,
10.125,-67.7752684075,
10.25,-68.19250938977605,
10.375,-68.59972187886228,
10.5,-68.99723446682529,
10.625,-69.38536635174275,
10.75,-69.76442735187551,
10.875,-70.13471794156129,
11.0,-70.49652930639441,
11.125,-70.85014341549243,
11.25,-71.19583310887121,
11.375,-71.53386219814566,
11.5,-71.86448557896132,
11.625,-72.1879493537245,
11.75,-72.50449096335471,
11.875,-72.81433932691735,
12.0,-73.11771498812398,
12.125,-73.41483026779781,
12.25,-73.7058894215046,
12.375,-73.99108880164256,
12.5,-74.27061702336492,
12.625,-74.54465513378331,
12.75,-74.81337678396504,
12.875,-75.07694840329549,
13.0,-75.33552937582789,
13.125,-75.58927221828671,
13.25,-75.83832275943179,
13.375,-76.08282032052256,
13.5,-76.3228978966534,
13.625,-76.55868233875424,
13.75,-76.7902945360745,
13.875,-77.01784959898536,
14.0,-77.24145704195206,
14.125,-77.46122096654017,
14.25,-77.67724024433195,
14.375,-77.88960869963681,
14.5,-78.09841529188868,
14.625,-78.3037442976286,
14.75,-78.50567549197618,
14.875,-78.70428432949987,
15.0,-78.8996421243977,
15.125,-79.09181622990458,
15.25,-79.28087021684682,
15.375,-79.46686405126778,
15.5,-79.64985427104898,
15.625,-79.82989416146043,
15.75,-80.00703392957314,
15.875,-80.18132087747298,
16.0,-80.35279957422128,
16.125,-80.52151202651203,
16.25,-80.68749784798003,
16.375,-80.85079442712477,
16.5,-81.0114370938205,
16.625,-81.16945928438778,
16.75,-81.32489270521765,
16.875,-81.47776749494136,
17.0,-81.6281123851531,
17.125,-81.77595485970224,
17.25,-81.92132131258096,
17.375,-82.06423720444744,
17.5,-82.20472721783197,
17.625,-82.34281541108942,
17.75,-82.4785253711697,
17.875,-82.61188036529174,
18.0,-82.74290349161811,
18.125,-82.8716178290355,
18.25,-82.99804658616357,
18.375,-83.1222132497179,
18.5,-83.24414173236991,
18.625,-83.3638565202453,
18.75,-83.48138282022465,
18.875,-83.59674670720173,
19.0,-83.70997527146929,
19.125,-83.82109676640282,
19.25,-83.93014075661432,
19.375,-84.03713826674688,
19.5,-84.14212193107822,
19.625,-84.24512614409568,
19.75,-84.34618721219728,
19.875,-84.44534350665647,
20.0,-84.54263561798192,
20.125,-84.63810651177184,
20.25,-84.73180168614722,
20.375,-84.82376933081747,
20.5,-84.91406048779174,
20.625,-85.00272921372,
20.75,-85.08983274378997,
20.875,-85.17543165706348,
21.0,-85.25959004307026,
21.125,-85.34237566941091,
21.25,-85.42386015004669,
21.375,-85.50411911386983,
21.5,-85.58323237305343,
21.625,-85.66128409057765,
21.75,-85.73836294621925,
21.875,-85.814562300162,
22.0,-85.88998035325892,
22.125,-85.96472030282587,
22.25,-86.03889049269219,
22.375,-86.11260455606298,
22.5,-86.18598154957269,
22.625,-86.25914607671027,
22.75,-86.33222839860112,
22.875,-86.40536452991002,
23.0,-86.47869631741317,
23.125,-86.55237149854526,
23.25,-86.62654373700683,
23.375,-86.70137263223982,
23.5,-86.77702369936972,
23.625,-86.85366831593248,
23.75,-86.93148363147493,
23.875,-87.01065243587107,
24.0,-87.09136298197635,
24.125,-87.17380875801925,
24.25,-87.25818820495236,
24.375,-87.34470437382036,
24.5,-87.43356451808047,
24.625,-87.52497961573557,
24.75,-87.61916381612525,
24.875,-87.71633380625138,
25.0,-87.8167080916546,
